Tabela_ID;Titulo_Tabela;Categoria;Brasil;Norte;Nordeste;Sudeste;Sul;Centro-Oeste
1.3.1.2;"Tabela 1.3.1.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";Total;0;0;0;0;0;0
1.3.1.2;"Tabela 1.3.1.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";10 a 14 anos;0.9;2.4;1.6;1.7;2.1;2.3
1.3.1.2;"Tabela 1.3.1.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";15 a 17 anos;0.9;2.4;1.6;1.6;2.2;2.5
1.3.1.2;"Tabela 1.3.1.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";18 ou 19 anos;1.1;2.7;2.1;1.8;2.9;3.2
1.3.1.2;"Tabela 1.3.1.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";20 a 24 anos;0.8;1.8;1.3;1.3;1.9;2
1.3.1.2;"Tabela 1.3.1.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";25 a 29 anos;0.8;1.9;1.3;1.4;1.8;2.1
1.3.1.2;"Tabela 1.3.1.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";30 a 34 anos;0.8;1.9;1.3;1.3;1.8;2.1
1.3.1.2;"Tabela 1.3.1.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";35 a 39 anos;0.7;1.6;1.4;1.2;1.8;2.1
1.3.1.2;"Tabela 1.3.1.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";40 a 44 anos;0.7;1.8;1.4;1.3;1.8;1.9
1.3.1.2;"Tabela 1.3.1.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";45 a 49 anos;0.8;2;1.6;1.3;2.2;2
